,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[3, 32]",0.331,0.766,-0.749,1.822,0.011,0.009,4683.0,2480.0,1.0
"beta[3, 33]",0.676,0.957,-0.477,2.471,0.015,0.01,4234.0,1339.0,1.0
"beta[3, 34]",-0.344,0.82,-1.773,0.93,0.012,0.01,4884.0,2240.0,1.0
"beta[3, 35]",-0.307,0.787,-1.72,0.963,0.012,0.009,4744.0,2082.0,1.0
"beta[3, 36]",2.301,2.202,0.238,6.308,0.037,0.026,3766.0,4456.0,1.0
"beta[3, 37]",2.56,2.427,0.243,6.683,0.04,0.029,3969.0,4446.0,1.0
"beta[3, 38]",-0.421,0.868,-2.017,0.824,0.014,0.012,4425.0,1963.0,1.0
"beta[3, 39]",-0.468,0.937,-2.284,0.713,0.015,0.014,4686.0,1784.0,1.0
"beta[3, 40]",-0.823,1.136,-3.09,0.429,0.018,0.013,4430.0,1568.0,1.0
"beta[3, 41]",-0.422,0.964,-2.113,0.885,0.016,0.012,3913.0,1489.0,1.0
"beta[3, 42]",1.432,1.592,-0.144,4.287,0.027,0.019,3554.0,1313.0,1.0
"beta[3, 43]",0.083,0.817,-1.389,1.327,0.014,0.012,4397.0,2523.0,1.0
"beta[3, 44]",0.15,0.868,-1.209,1.7,0.013,0.012,5275.0,2643.0,1.0
"beta[3, 45]",-0.794,1.147,-3.004,0.558,0.017,0.012,4837.0,1325.0,1.0
"beta[3, 46]",-0.869,1.175,-3.093,0.488,0.019,0.014,4552.0,1495.0,1.0
"beta[3, 47]",-0.868,1.188,-3.218,0.383,0.02,0.014,3975.0,1159.0,1.0
"beta[3, 48]",-0.006,1.844,-3.127,3.349,0.017,0.018,13483.0,5111.0,1.0
"beta[3, 49]",-0.794,1.171,-2.994,0.51,0.019,0.014,4181.0,1289.0,1.0
"beta[3, 50]",-0.48,1.002,-2.387,0.869,0.016,0.014,4574.0,2350.0,1.0
"beta[3, 51]",0.606,1.04,-0.734,2.637,0.017,0.013,4350.0,1517.0,1.0
"beta[3, 52]",-0.17,0.95,-1.767,1.325,0.015,0.011,4533.0,1918.0,1.0
"beta[3, 53]",-0.485,1.065,-2.38,0.98,0.017,0.012,4436.0,2080.0,1.0
"beta[3, 54]",-0.81,1.205,-3.018,0.591,0.019,0.013,4657.0,2015.0,1.0
"beta[3, 55]",3.109,2.97,0.309,8.156,0.05,0.035,3703.0,3919.0,1.0
"beta[3, 56]",4.002,3.769,0.425,10.387,0.064,0.045,3909.0,4602.0,1.0
"beta[3, 57]",-0.587,1.201,-2.595,0.929,0.02,0.017,4529.0,1347.0,1.0
"beta[3, 58]",-0.582,1.163,-2.53,0.817,0.018,0.013,4643.0,1570.0,1.0
"beta[3, 59]",1.611,1.72,-0.182,4.759,0.03,0.021,3499.0,2184.0,1.0
"beta[3, 60]",-0.302,1.11,-1.994,1.343,0.02,0.016,5013.0,1960.0,1.0
"beta[3, 61]",-0.558,1.149,-2.677,0.988,0.018,0.016,4484.0,1760.0,1.0
"beta[3, 62]",-0.799,1.27,-3.188,0.749,0.021,0.015,3959.0,1099.0,1.0
"beta[3, 63]",-0.886,1.39,-3.384,0.604,0.023,0.017,4138.0,1458.0,1.0
"beta[3, 64]",0.379,1.037,-1.204,2.258,0.019,0.016,4248.0,1531.0,1.0
"beta[3, 65]",-0.4,1.067,-2.285,1.098,0.017,0.016,4955.0,2042.0,1.0
"beta[3, 66]",-0.3,1.09,-2.204,1.224,0.017,0.014,5376.0,2119.0,1.0
"beta[3, 67]",-0.848,1.348,-2.999,0.86,0.022,0.016,4215.0,1738.0,1.0
"beta[3, 68]",-0.926,1.267,-3.33,0.676,0.02,0.015,4666.0,1692.0,1.0
"beta[3, 69]",-0.02,2.186,-3.946,4.028,0.021,0.021,12442.0,4980.0,1.0
"beta[3, 70]",-0.856,1.365,-3.039,0.959,0.022,0.017,4086.0,1318.0,1.0
"beta[3, 71]",0.002,2.289,-3.891,4.097,0.024,0.025,12899.0,5477.0,1.0
"beta[3, 72]",-0.976,1.359,-3.601,0.626,0.021,0.017,4547.0,1659.0,1.0
"beta[3, 73]",-0.513,1.211,-2.664,1.117,0.023,0.016,3826.0,1655.0,1.0
"beta[3, 74]",-0.024,2.248,-4.113,4.088,0.022,0.024,15083.0,5472.0,1.0
